bins,train_recall,train_accuracy,test_recall,test_accuracy,program
8,0.9375,0.929292929293,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 $StratAer_bin7 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2 !$StratAer_bin6)) 
8,0.9375,0.929292929293,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 $StratAer_bin7 !$TropAerInd_bin7)) and($Ozone_bin0 !$Solar_bin0 $Solar_bin2 !$StratAer_bin6)) 
8,0.9375,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 $StratAer_bin7 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2)) 
8,0.921875,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2 !$StratAer_bin6)) 
8,0.921875,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin7 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2 !$StratAer_bin6)) 
8,0.921875,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 !$TropAerInd_bin7)) and($Ozone_bin0 !$Solar_bin0 $Solar_bin2 !$StratAer_bin6)) 
8,0.921875,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2 !$StratAer_bin6) $Land_Use_bin0) 
8,0.921875,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2 !$StratAer_bin6) $Orbital_bin3) 
8,0.921875,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2 !$StratAer_bin6) $Orbital_bin5) 
8,0.921875,0.919191919192,1.0,1.0,or(and(or(!$SnowAlb_BC_bin1 $StratAer_bin3) or($Solar_bin3 $StratAer_bin7 !$TropAerDir_bin7) or($StratAer_bin1 $StratAer_bin2 !$TropAerInd_bin7)) and($Ozone_bin0 $Solar_bin2 !$StratAer_bin6) $Orbital_bin6) 
